Time,UeGroup,UeIndex,UeNodeId,Imsi,ServingCell,ServingRsrpDbm,BestFeasibleTnRsrpDbm,BestFeasibleUavRsrpDbm,ServiceState,StateAgeSec,SensedOrOraclePositionAvailable,ControllerEastM,ControllerNorthM,IncludedInMovementTarget
12,UES2,32,99,99,7,-114.789,-118.203,-115.917,PERSISTING,0,1,371.348773,-329.861715,0
12,UES2,33,100,100,5,-120.183,-113.756,-121.232,PERSISTING,0,1,-367.497793,365.686631,0
12,UES2,34,101,101,4,-116.383,-111.358,-116.16,PERSISTING,0,1,276.977121,365.009593,0
12,UES2,35,102,102,0,NA,-122.503,-120.448,UNKNOWN,0,1,364.359408,-386.781733,0
12,UES2,36,103,103,7,-121.502,-113.601,-119.395,PERSISTING,0,1,-316.009386,436.240970,0
12,UES2,37,104,104,0,NA,-86.9853,-126.191,UNKNOWN,0,1,367.404151,313.589848,0
12,UES2,38,105,105,5,-113.272,-116.805,-113.328,PERSISTING,0,1,362.088460,-314.833969,0
12,UES2,39,106,106,7,-118.359,-114.785,-81.4534,ALTERNATIVE_AVAILABLE,0,1,-317.418366,347.573256,0
13,UES1,0,7,7,4,-83.0992,-95.8757,-92.8165,SERVED,0,1,-62.663094,-85.627394,0
13,UES1,1,8,8,1,-64.5959,-88.065,-91.6233,SERVED,0,1,71.526633,-32.630125,0
13,UES1,2,9,9,3,-71.925,-87.8729,-101.807,SERVED,0,1,-114.443052,98.830243,0
13,UES1,3,10,10,1,-88.2057,-65.1672,-90.1824,SERVED,0,1,33.536428,-79.018562,0
13,UES1,4,11,11,4,-64.423,-69.8222,-85.3845,SERVED,0,1,-1.778581,90.954018,0
13,UES1,5,12,12,3,-72.3131,-59.1975,-100.026,SERVED,0,1,-72.660843,-7.692332,0
13,UES1,6,13,13,1,-70.6038,-81.5164,-93.3105,SERVED,0,1,89.848253,-14.164295,0
13,UES1,7,14,14,2,-60.3581,-75.7916,-91.398,SERVED,0,1,37.802756,2.612969,0
13,UES1,8,15,15,1,-88.6926,-94.0144,-89.8224,SERVED,0,1,5.970485,-83.267577,0
13,UES1,9,16,16,3,-81.0961,-72.7742,-105.172,SERVED,0,1,-32.879183,56.867561,0
13,UES1,10,17,17,4,-84.8927,-90.483,-89.0528,SERVED,0,1,-41.820050,-40.358436,0
13,UES1,11,18,18,1,-58.2024,-74.2923,-73.2512,SERVED,0,1,20.710347,33.172841,0
13,UES1,12,19,19,5,-96.4042,-94.4077,-97.1992,SERVED,0,1,123.886305,-78.960939,0
13,UES1,13,20,20,5,-96.8456,-70.5518,-67.2971,SERVED,0,1,22.559575,24.556645,0
13,UES1,14,21,21,1,-69.4236,-65.8437,-103.007,SERVED,0,1,16.922919,-26.020533,0
13,UES1,15,22,22,1,-60.6378,-69.0264,-70.6657,SERVED,0,1,94.506774,30.969612,0
13,UES1,16,23,23,6,-98.3827,-88.4876,-94.9059,SERVED,0,1,-114.828010,-50.120791,0
13,UES1,17,24,24,1,-68.6021,-69.4351,-86.5398,SERVED,0,1,4.743615,-11.087809,0
13,UES1,18,25,25,1,-58.0018,-84.8322,-95.5933,SERVED,0,1,20.391514,37.805901,0
13,UES1,19,26,26,6,-87.5772,-88.1686,-98.1,SERVED,0,1,-34.749567,-16.862109,0
13,UES1,20,27,27,3,-63.4702,-85.1052,-77.7586,SERVED,0,1,-62.866940,75.157123,0
13,UES1,21,28,28,3,-71.422,-86.3417,-108.662,SERVED,0,1,-96.472099,116.966837,0
13,UES1,22,29,29,2,-56.8738,-74.622,-102.656,SERVED,0,1,124.498609,17.450510,0
