Time,RecordType,UeGroup,UeIndex,UeNodeId,SensorIndex,SensorCellId,PreClassificationUnderserved,Detected,TrueEastM,TrueNorthM,EstimatedEastM,EstimatedNorthM,RangeM,SensingSnrDb,DetectionProbability,PositionSigmaM,NumFusedObservations
12,FUSED,UES1,20,27,-1,0,-1,1,-58.2603,71.875,-58.4183,72.4327,nan,41.6293,nan,0.57735,3
12,OBSERVATION,UES1,21,28,0,5,-1,1,-94.7218,111.972,-94.5478,110.514,254.829,32.2587,1,1,0
12,OBSERVATION,UES1,21,28,1,6,-1,1,-94.7218,111.972,-93.5461,112.09,183.221,37.9896,1,1,0
12,OBSERVATION,UES1,21,28,2,7,-1,1,-94.7218,111.972,-93.0295,113.084,247.077,32.7953,1,1,0
12,FUSED,UES1,21,28,-1,0,-1,1,-94.7218,111.972,-93.7078,111.896,nan,37.9896,nan,0.57735,3
12,OBSERVATION,UES1,22,29,0,5,-1,1,120.573,14.8042,117.613,14.401,188.519,37.4944,1,1,0
12,OBSERVATION,UES1,22,29,1,6,-1,1,120.573,14.8042,123.588,14.1979,164.53,39.8588,1,1,0
12,OBSERVATION,UES1,22,29,2,7,-1,1,120.573,14.8042,119.162,15.2751,177.993,38.4925,1,1,0
12,FUSED,UES1,22,29,-1,0,-1,1,120.573,14.8042,120.121,14.6247,nan,39.8588,nan,0.57735,3
12,OBSERVATION,UES1,23,30,0,5,-1,1,23.1979,-34.5782,21.9921,-34.9641,129.419,44.0287,1,1,0
12,OBSERVATION,UES1,23,30,1,6,-1,1,23.1979,-34.5782,24.3763,-33.6044,139.712,42.6993,1,1,0
12,OBSERVATION,UES1,23,30,2,7,-1,1,23.1979,-34.5782,22.6337,-34.4675,131.44,43.7595,1,1,0
12,FUSED,UES1,23,30,-1,0,-1,1,23.1979,-34.5782,23.0007,-34.3453,nan,44.0287,nan,0.57735,3
12,OBSERVATION,UES1,24,31,0,5,-1,1,38.5985,102.257,40.0734,103.616,223.62,34.5282,1,1,0
12,OBSERVATION,UES1,24,31,1,6,-1,1,38.5985,102.257,39.2455,103.204,145.405,42.0055,1,1,0
12,OBSERVATION,UES1,24,31,2,7,-1,1,38.5985,102.257,37.9647,102.128,209.181,35.6877,1,1,0
12,FUSED,UES1,24,31,-1,0,-1,1,38.5985,102.257,39.0945,102.983,nan,42.0055,nan,0.57735,3
12,OBSERVATION,UES1,25,32,0,5,-1,1,-28.0574,89.6393,-28.0341,89.4836,215.798,35.1468,1,1,0
12,OBSERVATION,UES1,25,32,1,6,-1,1,-28.0574,89.6393,-28.0359,90.1702,143.166,42.275,1,1,0
12,OBSERVATION,UES1,25,32,2,7,-1,1,-28.0574,89.6393,-25.5033,89.7593,205.724,35.9772,1,1,0
12,FUSED,UES1,25,32,-1,0,-1,1,-28.0574,89.6393,-27.1911,89.8044,nan,42.275,nan,0.57735,3
12,OBSERVATION,UES1,26,33,0,5,-1,1,139.746,-30.9581,138.546,-30.6888,181.35,38.1679,1,1,0
12,OBSERVATION,UES1,26,33,1,6,-1,1,139.746,-30.9581,140.065,-31.6809,187.202,37.6162,1,1,0
12,OBSERVATION,UES1,26,33,2,7,-1,1,139.746,-30.9581,140.186,-30.7997,175.448,38.7427,1,1,0
12,FUSED,UES1,26,33,-1,0,-1,1,139.746,-30.9581,139.599,-31.0564,nan,38.7427,nan,0.57735,3
12,OBSERVATION,UES1,27,34,0,5,-1,1,52.1278,-0.692983,52.4995,0.284841,150.806,41.3719,1,1,0
12,OBSERVATION,UES1,27,34,1,6,-1,1,52.1278,-0.692983,52.7106,0.868993,133.144,43.5358,1,1,0
12,OBSERVATION,UES1,27,34,2,7,-1,1,52.1278,-0.692983,51.2211,0.442714,145.124,42.039,1,1,0
12,FUSED,UES1,27,34,-1,0,-1,1,52.1278,-0.692983,52.1437,0.532183,nan,43.5358,nan,0.57735,3
12,OBSERVATION,UES1,28,35,0,5,-1,1,-105.864,33.3458,-105.534,33.2816,206.324,35.9266,1,1,0
12,OBSERVATION,UES1,28,35,1,6,-1,1,-105.864,33.3458,-107.068,33.1538,171.388,39.1494,1,1,0
12,OBSERVATION,UES1,28,35,2,7,-1,1,-105.864,33.3458,-103.967,34.5742,206.449,35.9161,1,1,0
12,FUSED,UES1,28,35,-1,0,-1,1,-105.864,33.3458,-105.523,33.6698,nan,39.1494,nan,0.57735,3
12,OBSERVATION,UES1,29,36,0,5,-1,1,25.2213,32.9144,24.085,31.559,168.095,39.4864,1,1,0
12,OBSERVATION,UES1,29,36,1,6,-1,1,25.2213,32.9144,25.4367,32.6875,124.147,44.7512,1,1,0
12,OBSERVATION,UES1,29,36,2,7,-1,1,25.2213,32.9144,26.5606,34.0263,159.871,40.3579,1,1,0
12,FUSED,UES1,29,36,-1,0,-1,1,25.2213,32.9144,25.3608,32.7576,nan,44.7512,nan,0.57735,3
12,OBSERVATION,UES1,30,37,0,5,-1,1,27.4341,-112.048,27.0388,-111.722,122.133,45.0352,1,1,0
12,OBSERVATION,UES1,30,37,1,6,-1,1,27.4341,-112.048,27.5413,-112.424,188.736,37.4745,1,1,0
12,OBSERVATION,UES1,30,37,2,7,-1,1,27.4341,-112.048,28.6382,-111.764,137.864,42.9305,1,1,0
12,FUSED,UES1,30,37,-1,0,-1,1,27.4341,-112.048,27.7394,-111.97,nan,45.0352,nan,0.57735,3
12,OBSERVATION,UES1,31,38,0,5,-1,1,77.871,3.15869,76.5246,2.24019,161.383,40.1943,1,1,0
12,OBSERVATION,UES1,31,38,1,6,-1,1,77.871,3.15869,77.5827,4.24324,142.083,42.4069,1,1,0
12,OBSERVATION,UES1,31,38,2,7,-1,1,77.871,3.15869,77.7924,2.6055,153.745,41.0366,1,1,0
12,FUSED,UES1,31,38,-1,0,-1,1,77.871,3.15869,77.2999,3.02964,nan,42.4069,nan,0.57735,3
12,OBSERVATION,UES1,32,39,0,5,-1,1,41.3696,3.51738,42.2953,2.39082,150.895,41.3616,1,1,0
12,OBSERVATION,UES1,32,39,1,6,-1,1,41.3696,3.51738,42.4523,1.09204,129.458,44.0235,1,1,0
12,OBSERVATION,UES1,32,39,2,7,-1,1,41.3696,3.51738,41.1864,3.5139,145.316,42.0161,1,1,0
12,FUSED,UES1,32,39,-1,0,-1,1,41.3696,3.51738,41.978,2.33225,nan,44.0235,nan,0.57735,3
12,OBSERVATION,UES1,33,40,0,5,-1,1,-53.1484,-16.2339,-54.5052,-17.4917,152.874,41.1353,1,1,0
12,OBSERVATION,UES1,33,40,1,6,-1,1,-53.1484,-16.2339,-54.1792,-15.9143,147.474,41.76,1,1,0
12,OBSERVATION,UES1,33,40,2,7,-1,1,-53.1484,-16.2339,-54.3078,-16.7965,156.989,40.6738,1,1,0
12,FUSED,UES1,33,40,-1,0,-1,1,-53.1484,-16.2339,-54.3307,-16.7342,nan,41.76,nan,0.57735,3
12,OBSERVATION,UES1,34,41,0,5,-1,1,-48.4145,-86.1801,-49.4741,-86.2596,133.878,43.4402,1,1,0
12,OBSERVATION,UES1,34,41,1,6,-1,1,-48.4145,-86.1801,-48.8344,-86.7135,180.267,38.272,1,1,0
12,OBSERVATION,UES1,34,41,2,7,-1,1,-48.4145,-86.1801,-48.253,-87.5272,149.654,41.5051,1,1,0
12,FUSED,UES1,34,41,-1,0,-1,1,-48.4145,-86.1801,-48.8538,-86.8334,nan,43.4402,nan,0.57735,3
12,OBSERVATION,UES1,35,42,0,5,-1,1,30.9288,-14.2804,31.7072,-14.1477,139.439,42.7333,1,1,0
12,OBSERVATION,UES1,35,42,1,6,-1,1,30.9288,-14.2804,30.4974,-13.8217,132.406,43.6324,1,1,0
12,OBSERVATION,UES1,35,42,2,7,-1,1,30.9288,-14.2804,29.6994,-14.4659,137.295,43.0024,1,1,0
12,FUSED,UES1,35,42,-1,0,-1,1,30.9288,-14.2804,30.6346,-14.1451,nan,43.6324,nan,0.57735,3
12,OBSERVATION,UES1,36,43,0,5,-1,1,107.796,77.2701,109.383,77.6237,222.358,34.6265,1,1,0
12,OBSERVATION,UES1,36,43,1,6,-1,1,107.796,77.2701,107.274,75.9942,162.771,40.0455,1,1,0
12,OBSERVATION,UES1,36,43,2,7,-1,1,107.796,77.2701,108.63,76.9995,207.147,35.8575,1,1,0
12,FUSED,UES1,36,43,-1,0,-1,1,107.796,77.2701,108.429,76.8725,nan,40.0455,nan,0.57735,3
12,OBSERVATION,UES1,37,44,0,5,-1,1,5.42317,-36.7203,7.32537,-35.8234,128.528,44.1487,1,1,0
12,OBSERVATION,UES1,37,44,1,6,-1,1,5.42317,-36.7203,5.1007,-37.9484,140.538,42.5969,1,1,0
12,OBSERVATION,UES1,37,44,2,7,-1,1,5.42317,-36.7203,6.2908,-37.3203,132.375,43.6364,1,1,0
12,FUSED,UES1,37,44,-1,0,-1,1,5.42317,-36.7203,6.23896,-37.0307,nan,44.1487,nan,0.57735,3
12,OBSERVATION,UES1,38,45,0,5,-1,1,19.4864,-17.0438,19.7544,-16.0751,137.1,43.0271,1,1,0
12,OBSERVATION,UES1,38,45,1,6,-1,1,19.4864,-17.0438,20.7874,-16.8129,132.295,43.6468,1,1,0
12,OBSERVATION,UES1,38,45,2,7,-1,1,19.4864,-17.0438,19.2858,-17.2152,136.292,43.1298,1,1,0
12,FUSED,UES1,38,45,-1,0,-1,1,19.4864,-17.0438,19.9425,-16.7011,nan,43.6468,nan,0.57735,3
12,OBSERVATION,UES1,39,46,0,5,-1,1,23.2714,-22.2765,22.0804,-22.4962,134.764,43.3256,1,1,0
12,OBSERVATION,UES1,39,46,1,6,-1,1,23.2714,-22.2765,23.4756,-23.0899,134.481,43.3622,1,1,0
12,OBSERVATION,UES1,39,46,2,7,-1,1,23.2714,-22.2765,25.1214,-24.3332,134.563,43.3516,1,1,0
12,FUSED,UES1,39,46,-1,0,-1,1,23.2714,-22.2765,23.5591,-23.3064,nan,43.3622,nan,0.57735,3
12,OBSERVATION,UES1,40,47,0,5,-1,1,-124.639,37.7041,-125.387,37.3513,220.172,34.7981,1,1,0
12,OBSERVATION,UES1,40,47,1,6,-1,1,-124.639,37.7041,-126.015,37.6999,185.028,37.8191,1,1,0
12,OBSERVATION,UES1,40,47,2,7,-1,1,-124.639,37.7041,-126.282,37.058,220.723,34.7547,1,1,0
12,FUSED,UES1,40,47,-1,0,-1,1,-124.639,37.7041,-125.895,37.3697,nan,37.8191,nan,0.57735,3
12,OBSERVATION,UES1,41,48,0,5,-1,1,-147.707,-131.806,-146.93,-132.572,205.605,35.9873,1,1,0
12,OBSERVATION,UES1,41,48,1,6,-1,1,-147.707,-131.806,-146.695,-129.957,259.254,31.9596,1,1,0
12,OBSERVATION,UES1,41,48,2,7,-1,1,-147.707,-131.806,-148.166,-131.762,225.82,34.3581,1,1,0
12,FUSED,UES1,41,48,-1,0,-1,1,-147.707,-131.806,-147.264,-131.43,nan,35.9873,nan,0.57735,3
12,OBSERVATION,UES1,42,49,0,5,-1,1,-17.9245,-1.30857,-17.4182,-2.01773,148.954,41.5866,1,1,0
12,OBSERVATION,UES1,42,49,1,6,-1,1,-17.9245,-1.30857,-15.7951,-1.43101,131.071,43.8083,1,1,0
12,OBSERVATION,UES1,42,49,2,7,-1,1,-17.9245,-1.30857,-18.2697,-0.260869,148.373,41.6544,1,1,0
12,FUSED,UES1,42,49,-1,0,-1,1,-17.9245,-1.30857,-17.161,-1.23653,nan,43.8083,nan,0.57735,3
12,OBSERVATION,UES1,43,50,0,5,-1,1,-39.6488,-24.9097,-40.5867,-23.7862,143.567,42.2264,1,1,0
12,OBSERVATION,UES1,43,50,1,6,-1,1,-39.6488,-24.9097,-39.85,-25.2764,144.994,42.0546,1,1,0
12,OBSERVATION,UES1,43,50,2,7,-1,1,-39.6488,-24.9097,-38.4217,-24.0542,148.36,41.656,1,1,0
12,FUSED,UES1,43,50,-1,0,-1,1,-39.6488,-24.9097,-39.6195,-24.3723,nan,42.2264,nan,0.57735,3
12,OBSERVATION,UES1,44,51,0,5,-1,1,17.3981,-4.52738,16.3602,-4.18977,143.717,42.2083,1,1,0
12,OBSERVATION,UES1,44,51,1,6,-1,1,17.3981,-4.52738,15.7912,-4.94957,128.295,44.1802,1,1,0
12,OBSERVATION,UES1,44,51,2,7,-1,1,17.3981,-4.52738,16.5243,-4.34393,141.023,42.537,1,1,0
12,FUSED,UES1,44,51,-1,0,-1,1,17.3981,-4.52738,16.2252,-4.49442,nan,44.1802,nan,0.57735,3
12,OBSERVATION,UES1,45,52,0,5,-1,1,4.57083,-57.4195,4.27638,-57.0929,122.199,45.0259,1,1,0
12,OBSERVATION,UES1,45,52,1,6,-1,1,4.57083,-57.4195,5.81703,-56.0735,151.5,41.2921,1,1,0
12,OBSERVATION,UES1,45,52,2,7,-1,1,4.57083,-57.4195,5.39206,-58.842,130.116,43.9354,1,1,0
12,FUSED,UES1,45,52,-1,0,-1,1,4.57083,-57.4195,5.16182,-57.3362,nan,45.0259,nan,0.57735,3
12,OBSERVATION,UES1,46,53,0,5,-1,1,-45.8453,-71.8748,-45.5783,-72.3148,133.427,43.4989,1,1,0
12,OBSERVATION,UES1,46,53,1,6,-1,1,-45.8453,-71.8748,-44.9114,-71.7103,170.5,39.2396,1,1,0
12,OBSERVATION,UES1,46,53,2,7,-1,1,-45.8453,-71.8748,-42.8471,-71.8272,146.788,41.8409,1,1,0
12,FUSED,UES1,46,53,-1,0,-1,1,-45.8453,-71.8748,-44.4456,-71.9508,nan,43.4989,nan,0.57735,3
12,OBSERVATION,UES1,47,54,0,5,-1,1,-97.996,30.5309,-98.3498,28.9387,200.211,36.4491,1,1,0
12,OBSERVATION,UES1,47,54,1,6,-1,1,-97.996,30.5309,-98.3636,30.4463,165.997,39.7046,1,1,0
12,OBSERVATION,UES1,47,54,2,7,-1,1,-97.996,30.5309,-98.0877,30.1902,200.256,36.4452,1,1,0
12,FUSED,UES1,47,54,-1,0,-1,1,-97.996,30.5309,-98.267,29.8584,nan,39.7046,nan,0.57735,3
12,OBSERVATION,UES1,48,55,0,5,-1,1,-99.1383,43.4132,-99.7276,42.1367,208.575,35.7381,1,1,0
12,OBSERVATION,UES1,48,55,1,6,-1,1,-99.1383,43.4132,-99.7952,42.6888,167.306,39.5682,1,1,0
12,OBSERVATION,UES1,48,55,2,7,-1,1,-99.1383,43.4132,-98.374,44.7438,207.216,35.8517,1,1,0
12,FUSED,UES1,48,55,-1,0,-1,1,-99.1383,43.4132,-99.2989,43.1898,nan,39.5682,nan,0.57735,3
12,OBSERVATION,UES1,49,56,0,5,-1,1,-14.1773,50.4749,-13.8518,50.2782,182.733,38.0359,1,1,0
12,OBSERVATION,UES1,49,56,1,6,-1,1,-14.1773,50.4749,-15.3515,50.5421,128.096,44.2072,1,1,0
12,OBSERVATION,UES1,49,56,2,7,-1,1,-14.1773,50.4749,-13.6454,52.9676,175.21,38.7663,1,1,0
12,FUSED,UES1,49,56,-1,0,-1,1,-14.1773,50.4749,-14.2829,51.2626,nan,44.2072,nan,0.57735,3
12,OBSERVATION,UES1,50,57,0,5,-1,1,-73.2446,-7.15016,-73.0871,-5.90718,166.776,39.6233,1,1,0
12,OBSERVATION,UES1,50,57,1,6,-1,1,-73.2446,-7.15016,-73.1592,-6.00204,155.086,40.8857,1,1,0
12,OBSERVATION,UES1,50,57,2,7,-1,1,-73.2446,-7.15016,-71.1067,-7.10545,170.545,39.235,1,1,0
12,FUSED,UES1,50,57,-1,0,-1,1,-73.2446,-7.15016,-72.451,-6.33822,nan,40.8857,nan,0.57735,3
12,OBSERVATION,UES1,51,58,0,5,-1,1,122.261,25.744,122.337,26.1045,195.506,36.8622,1,1,0
12,OBSERVATION,UES1,51,58,1,6,-1,1,122.261,25.744,121.519,26.9128,165,39.8092,1,1,0
12,OBSERVATION,UES1,51,58,2,7,-1,1,122.261,25.744,123.5,23.2907,183.884,37.9269,1,1,0
12,FUSED,UES1,51,58,-1,0,-1,1,122.261,25.744,122.452,25.436,nan,39.8092,nan,0.57735,3
