Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,XhaulDegradationActive,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,UavSwitchingXappAvailable,UavSwitchingXappState,BackhaulMode,RicControlState,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode,recent_dl_pdr,recent_dl_delay_ms,recent_dl_throughput_mbps,recent_ul_pdr,recent_ul_delay_ms,recent_ul_throughput_mbps,ResultDir,SeedGroup,ScenarioKind
16.5,tn-uav-satellite,2,7,2,680.55,1,0.0,-55.0984,HEALTHY,12,HEALTHY,0,0,12.5043,7.98372,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,4.36,61.63063999999999,0.008548894199999999,0.1666666,48.0304,7.843019999999999e-05,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
18.5,tn-uav-satellite,0,5,1,1538.98,1,0.0,-62.1859,HEALTHY,14,HEALTHY,0,0,11.7808,7.26022,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,2.88,310.2195724999999,0.005646964399999999,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
18.5,tn-uav-satellite,1,6,4,544.092,1,0.0,-53.1546,HEALTHY,14,HEALTHY,0,0,10.2293,5.70866,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,2.88,310.2195724999999,0.005646964399999999,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
18.5,tn-uav-satellite,2,7,2,712.313,1,0.0,-55.4946,HEALTHY,14,HEALTHY,0,0,10.8655,6.34488,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,2.88,310.2195724999999,0.005646964399999999,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
20.5,tn-uav-satellite,0,5,1,1509.8,1,0.0,-62.0196,HEALTHY,16,HEALTHY,0,0,14.3969,9.87626,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.52,438.8999966666667,0.0010195926,0.1666666,48.0304,7.843019999999999e-05,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
20.5,tn-uav-satellite,1,6,4,538.874,1,0.0,-53.0709,HEALTHY,16,HEALTHY,0,0,13.9496,9.42902,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.52,438.8999966666667,0.0010195926,0.1666666,48.0304,7.843019999999999e-05,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
20.5,tn-uav-satellite,2,7,2,689.801,1,0.0,-55.2157,HEALTHY,16,HEALTHY,0,0,13.0689,8.54828,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.52,438.8999966666667,0.0010195926,0.1666666,48.0304,7.843019999999999e-05,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
22.5,tn-uav-satellite,0,5,1,1539.21,1,0.0,-62.1872,HEALTHY,18,HEALTHY,0,0,13.2149,8.69435,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.04,11.1,7.843019999999999e-05,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
22.5,tn-uav-satellite,1,6,4,525.415,1,0.0,-52.8512,HEALTHY,18,HEALTHY,0,0,13.3875,8.86693,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.04,11.1,7.843019999999999e-05,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
22.5,tn-uav-satellite,2,7,2,656.457,1,0.0,-54.7853,HEALTHY,18,HEALTHY,0,0,12.6264,8.10575,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.04,11.1,7.843019999999999e-05,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
