Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
50.5,tn-uav-satellite,1,6,-1000000000.0,1,8.85072,4.33012,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
50.5,tn-uav-satellite,2,7,-1000000000.0,1,12.9898,8.46923,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
52.5,tn-uav-satellite,1,6,-1000000000.0,1,13.368,8.84739,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
52.5,tn-uav-satellite,0,5,-1000000000.0,1,11.9545,7.43386,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
52.5,tn-uav-satellite,2,7,-1000000000.0,1,12.4352,7.9146,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
54.5,tn-uav-satellite,0,5,-1000000000.0,1,9.37208,4.85148,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
54.5,tn-uav-satellite,1,6,-1000000000.0,1,11.9534,7.43284,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
54.5,tn-uav-satellite,2,7,-1000000000.0,1,12.9664,8.44578,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
56.5,tn-uav-satellite,1,6,-1000000000.0,1,13.2083,8.68769,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
56.5,tn-uav-satellite,2,7,-1000000000.0,1,12.5644,8.04382,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
56.5,tn-uav-satellite,0,5,-1000000000.0,1,11.3366,6.81596,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
58.5,tn-uav-satellite,1,6,-1000000000.0,1,10.3438,5.82321,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
58.5,tn-uav-satellite,2,7,-1000000000.0,1,11.7424,7.22175,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
58.5,tn-uav-satellite,0,5,-1000000000.0,1,10.7673,6.24671,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
60.5,tn-uav-satellite,1,6,-1000000000.0,1,10.2443,5.72372,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
60.5,tn-uav-satellite,2,7,-1000000000.0,1,12.6254,8.10482,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
60.5,tn-uav-satellite,0,5,-1000000000.0,1,10.6782,6.15757,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
