Time,RecordType,UavIndex,UavCellId,CentroidIndex,CurrentEastM,CurrentNorthM,TargetEastM,TargetNorthM,DistanceToTargetM,ReachThresholdM,HasMovementAssignment,Arrived,NumMovementUes,NumCentroids
39,ASSIGN,2,7,2,97.0794,-115.674,343.599,-364.561,350.309,1,1,0,7,3
40,ASSIGN,0,5,2,220.164,110.189,365.324,-382.545,513.672,1,1,0,5,3
40,ASSIGN,1,6,1,-65.7441,148.429,-301.277,353.099,312.035,1,1,0,5,3
40,ASSIGN,2,7,0,107.636,-126.331,-407.298,314.331,677.746,1,1,0,5,3
41,ASSIGN,0,5,1,224.403,95.8004,316.024,348.818,269.095,1,1,0,5,3
41,ASSIGN,1,6,0,-77.0664,158.267,-334.508,338.25,314.118,1,1,0,5,3
41,ASSIGN,2,7,2,96.2397,-116.578,388.798,-347.835,372.921,1,1,0,5,3
42,ASSIGN,0,5,1,229.51,109.904,360.848,359.706,282.224,1,1,0,7,3
42,ASSIGN,1,6,0,-89.3599,166.862,-338.14,356.828,313.016,1,1,0,7,3
42,ASSIGN,2,7,2,108.008,-125.88,368.726,-376.739,361.806,1,1,0,7,3
43,ASSIGN,0,5,2,236.492,123.181,325.171,345.099,238.98,1,1,0,6,3
43,ASSIGN,1,6,0,-101.281,175.965,-365.66,352.187,317.726,1,1,0,6,3
43,ASSIGN,2,7,1,118.817,-136.28,371.819,-379.852,351.194,1,1,0,6,3
44,ASSIGN,0,5,2,242.059,137.11,324.531,357.928,235.717,1,1,0,6,3
44,ASSIGN,1,6,0,-113.763,184.285,-369.67,359.034,309.881,1,1,0,6,3
44,ASSIGN,2,7,1,129.624,-146.684,363.495,-347.696,308.386,1,1,0,6,3
45,ASSIGN,0,5,2,247.307,151.162,327.755,358.513,222.411,1,1,0,6,3
45,ASSIGN,1,6,0,-126.15,192.744,-369.348,358.997,294.594,1,1,0,6,3
45,ASSIGN,2,7,1,141,-156.461,362.772,-348.787,293.551,1,1,0,6,3
46,ASSIGN,0,5,2,252.734,165.146,330.037,362.467,211.923,1,1,0,5,3
46,ASSIGN,1,6,0,-138.532,201.209,-364.675,356.898,274.554,1,1,0,5,3
46,ASSIGN,2,7,1,152.333,-166.289,362.488,-348.242,277.979,1,1,0,5,3
47,ASSIGN,0,5,0,258.206,179.113,363.881,326.825,181.621,1,1,0,4,3
47,ASSIGN,1,6,2,-150.886,209.715,-371.149,356.885,264.905,1,1,0,4,3
47,ASSIGN,2,7,1,163.673,-176.107,380.718,-391.689,305.915,1,1,0,4,3
48,ASSIGN,0,5,0,266.934,191.312,360.172,328.232,165.651,1,1,0,4,3
48,ASSIGN,1,6,2,-163.358,218.048,-371.422,358.11,250.814,1,1,0,4,3
