Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
60.5,tn-uav,2,7,-90.9059,HEALTHY,56,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
60.5,tn-uav,0,5,-114.183,UNREACHABLE,30,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
62.5,tn-uav,0,5,-114.639,UNREACHABLE,32,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
62.5,tn-uav,1,6,-80.6458,HEALTHY,58,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
62.5,tn-uav,2,7,-96.512,HEALTHY,58,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
64.5,tn-uav,0,5,-115.679,UNREACHABLE,34,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
64.5,tn-uav,1,6,-84.1349,HEALTHY,60,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
64.5,tn-uav,2,7,-100.978,UNREACHABLE,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
66.5,tn-uav,1,6,-83.1053,HEALTHY,62,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
66.5,tn-uav,2,7,-101.08,UNREACHABLE,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
66.5,tn-uav,0,5,-120.505,UNREACHABLE,36,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
68.5,tn-uav,0,5,-112.624,UNREACHABLE,38,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
68.5,tn-uav,1,6,-89.2582,HEALTHY,64,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
68.5,tn-uav,2,7,-100.442,UNREACHABLE,4,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
70.5,tn-uav,0,5,-117.655,UNREACHABLE,40,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
70.5,tn-uav,1,6,-90.7817,HEALTHY,66,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
70.5,tn-uav,2,7,-98.8944,HEALTHY,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
72.5,tn-uav,2,7,-95.191,HEALTHY,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
72.5,tn-uav,0,5,-113.908,UNREACHABLE,42,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
72.5,tn-uav,1,6,-91.6206,HEALTHY,68,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
74.5,tn-uav,1,6,-87.4424,HEALTHY,70,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
74.5,tn-uav,2,7,-97.4211,HEALTHY,4,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
74.5,tn-uav,0,5,-117.093,UNREACHABLE,44,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
76.5,tn-uav,0,5,-118.69,UNREACHABLE,46,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
76.5,tn-uav,1,6,-89.9066,HEALTHY,72,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
76.5,tn-uav,2,7,-102.485,UNREACHABLE,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
78.5,tn-uav,0,5,-114.132,UNREACHABLE,48,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
78.5,tn-uav,1,6,-88.1873,HEALTHY,74,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
78.5,tn-uav,2,7,-100.487,UNREACHABLE,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
80.5,tn-uav,2,7,-99.9716,HEALTHY,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
80.5,tn-uav,0,5,-119.063,UNREACHABLE,50,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
80.5,tn-uav,1,6,-87.5233,HEALTHY,76,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
82.5,tn-uav,2,7,-97.3231,HEALTHY,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
82.5,tn-uav,1,6,-89.3718,HEALTHY,78,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
82.5,tn-uav,0,5,-116.609,UNREACHABLE,52,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
84.5,tn-uav,0,5,-121.968,UNREACHABLE,54,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
84.5,tn-uav,1,6,-92.6733,HEALTHY,80,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
84.5,tn-uav,2,7,-97.7326,HEALTHY,4,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
86.5,tn-uav,2,7,-101.283,UNREACHABLE,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
86.5,tn-uav,0,5,-124.126,UNREACHABLE,56,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
86.5,tn-uav,1,6,-97.3787,HEALTHY,82,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
88.5,tn-uav,1,6,-93.4853,HEALTHY,84,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
