Time,RecordType,UavIndex,UavCellId,CentroidIndex,CurrentEastM,CurrentNorthM,TargetEastM,TargetNorthM,DistanceToTargetM,ReachThresholdM,HasMovementAssignment,Arrived,NumMovementUes,NumCentroids
67,ASSIGN,2,7,0,157.284,179.129,-391.923,-191.866,662.771,1,1,0,8,3
68,ASSIGN,0,5,2,331.709,-166.152,393.098,-16.1469,162.08,1,1,0,8,3
68,ASSIGN,1,6,1,-260.258,298.393,-415.925,176.821,197.515,1,1,0,8,3
68,ASSIGN,2,7,0,144.856,170.732,-230.27,-331.017,626.475,1,1,0,8,3
69,ASSIGN,0,5,0,337.391,-152.269,221.426,-356.438,234.804,1,1,0,10,3
69,ASSIGN,1,6,1,-272.079,289.161,-405.413,18.924,301.34,1,1,0,10,3
69,ASSIGN,2,7,2,135.874,158.718,347.302,334.051,274.669,1,1,0,10,3
70,ASSIGN,0,5,0,329.983,-165.312,-24.9466,-328.368,390.592,1,1,0,10,3
70,ASSIGN,1,6,2,-278.715,275.709,-417.003,407.582,191.087,1,1,0,10,3
70,ASSIGN,2,7,1,147.421,168.294,348.132,287.333,233.356,1,1,0,10,3
71,ASSIGN,0,5,0,316.354,-171.574,372.988,80.3813,258.242,1,1,0,12,3
71,ASSIGN,1,6,1,-289.569,286.061,-328.148,32.8209,256.161,1,1,0,12,3
71,ASSIGN,2,7,2,160.324,175.945,350.184,394.072,289.182,1,1,0,12,3
72,ASSIGN,0,5,0,319.644,-156.939,167.281,-313.613,218.543,1,1,0,10,3
72,ASSIGN,1,6,2,-291.828,271.232,-411.815,32.8535,266.873,1,1,0,10,3
72,ASSIGN,2,7,1,170.172,187.26,354.508,299.759,215.953,1,1,0,10,3
73,ASSIGN,0,5,0,309.187,-167.693,167.202,-296.314,191.58,1,1,0,11,3
73,ASSIGN,1,6,2,-298.571,257.833,-415.711,32.1649,254.26,1,1,0,11,3
73,ASSIGN,2,7,1,182.977,195.074,345.754,296.319,191.695,1,1,0,11,3
74,ASSIGN,0,5,0,298.07,-177.763,167.727,-299.034,178.033,1,1,0,9,3
74,ASSIGN,1,6,2,-305.481,244.52,-419.608,31.4763,241.687,1,1,0,9,3
74,ASSIGN,2,7,1,195.714,202.996,351.927,271.384,170.527,1,1,0,9,3
75,ASSIGN,0,5,2,287.089,-187.981,301.304,-281.226,94.3226,1,1,0,8,3
75,ASSIGN,1,6,1,-312.563,231.298,-419.66,29.8393,228.156,1,1,0,8,3
75,ASSIGN,2,7,0,209.456,209.012,376.048,239.472,169.354,1,1,0,8,3
76,ASSIGN,0,5,2,289.35,-202.809,300.201,-280.386,78.3323,1,1,0,6,3
76,ASSIGN,1,6,1,-319.604,218.053,-419.712,28.2022,214.628,1,1,0,6,3
76,ASSIGN,2,7,0,224.212,211.71,380.062,252.726,161.157,1,1,0,6,3
77,ASSIGN,0,5,0,291.429,-217.665,381.107,252.007,478.156,1,1,0,4,3
77,ASSIGN,1,6,2,-326.6,204.785,-426.238,372.204,194.826,1,1,0,4,3
77,ASSIGN,2,7,1,238.719,215.527,-207.947,-353.562,723.445,1,1,0,4,3
78,ASSIGN,0,5,0,294.242,-202.931,391.826,104.852,322.883,1,1,0,3,3
78,ASSIGN,1,6,1,-334.27,217.675,-210.441,-357.895,588.74,1,1,0,3,3
78,ASSIGN,2,7,2,229.458,203.728,372.476,397.723,241.015,1,1,0,3,3
79,ASSIGN,1,6,0,-331.115,203.01,-198.47,430.492,263.33,1,1,0,4,2
79,ASSIGN,2,7,1,238.36,215.801,184.485,46.3026,177.855,1,1,0,4,2
80,ASSIGN,1,6,0,-323.558,215.968,-200.019,435.246,251.684,1,1,0,4,2
80,ASSIGN,2,7,1,233.817,201.506,184.35,44.3787,164.73,1,1,0,4,2
81,ASSIGN,1,6,1,-316.195,229.037,-217.922,-370.896,607.929,1,1,0,6,2
81,ASSIGN,2,7,0,229.314,187.198,376.574,332.755,207.057,1,1,0,6,2
82,ASSIGN,1,6,0,-313.769,214.234,-198.592,-271.073,498.787,1,1,0,9,2
82,ASSIGN,2,7,1,239.983,197.743,371.321,287.008,158.802,1,1,0,9,2
83,ASSIGN,2,7,0,252.389,206.175,141.132,57.9885,185.303,1,1,0,6,1
84,ASSIGN,2,7,0,243.383,194.18,95.9568,-7.98894,250.213,1,1,0,5,1
85,ASSIGN,1,6,1,-310.305,199.639,-206.635,-299.914,510.197,1,1,0,8,2
85,ASSIGN,2,7,0,234.545,182.06,306.517,-50.1163,243.076,1,1,0,8,2
86,ASSIGN,1,6,1,-307.256,184.952,-503.433,-117.013,360.095,1,1,0,8,2
86,ASSIGN,2,7,0,238.988,167.732,150.26,-154.727,334.444,1,1,0,8,2
87,ASSIGN,1,6,1,-315.428,172.374,-416.125,250.124,127.22,1,1,0,11,2
87,ASSIGN,2,7,0,235.008,153.27,182.622,-188.302,345.565,1,1,0,11,2
88,ASSIGN,1,6,1,-327.3,181.541,-48.7875,399.55,353.691,1,1,0,9,2
88,ASSIGN,2,7,0,232.734,138.443,-17.2982,-337.191,537.349,1,1,0,9,2
89,ASSIGN,1,6,0,-315.488,190.787,-130.676,398.756,278.221,1,1,0,7,2
89,ASSIGN,2,7,1,225.755,125.166,-118.694,-317.345,560.768,1,1,0,7,2
