Time,UeGroup,UeIndex,UeNodeId,Imsi,ServingCell,ServingRsrpDbm,BestFeasibleTnRsrpDbm,BestFeasibleUavRsrpDbm,ServiceState,StateAgeSec,SensedOrOraclePositionAvailable,ControllerEastM,ControllerNorthM,IncludedInMovementTarget
13,UES2,0,67,67,0,NA,-121.748,-105.201,UNKNOWN,1,1,-365.215846,318.000739,0
13,UES2,1,68,68,3,-119.244,-117.134,-118.588,PERSISTING,1,1,315.304592,387.709618,0
13,UES2,2,69,69,0,NA,-122.773,-122.328,UNKNOWN,1,1,392.575078,-323.926770,0
13,UES2,3,70,70,0,NA,-118.825,-120.634,UNKNOWN,1,1,-307.527679,344.035435,0
13,UES2,4,71,71,7,-124.018,-107.617,-117.299,PERSISTING,0,1,362.385740,377.077646,0
13,UES2,5,72,72,0,NA,-121.412,-100.903,UNKNOWN,1,1,340.624604,-330.293511,0
13,UES2,6,73,73,3,-117.24,-116.783,-87.976,ALTERNATIVE_AVAILABLE,0,1,-387.488195,344.690979,0
13,UES2,7,74,74,0,NA,-118.876,-123.482,UNKNOWN,1,1,441.480040,327.507631,0
13,UES2,8,75,75,2,-117.27,-80.7068,-90.8461,ALTERNATIVE_AVAILABLE,0,1,321.498000,-358.949731,0
13,UES2,9,76,76,0,NA,-120.412,-120.061,UNKNOWN,1,1,-370.329176,289.765979,0
13,UES2,10,77,77,0,NA,-122.726,-126.613,UNKNOWN,1,1,381.916626,360.400154,0
13,UES2,11,78,78,2,-114.386,-76.9947,-114.348,ALTERNATIVE_AVAILABLE,0,1,335.045752,-310.225094,0
13,UES2,12,79,79,0,NA,-118.203,-125.859,UNKNOWN,1,1,-354.723892,288.960362,0
13,UES2,13,80,80,0,NA,-122.447,-126.067,UNKNOWN,1,1,408.539910,354.945336,0
13,UES2,14,81,81,6,-115.01,-106.784,-111.821,PERSISTING,1,1,339.367263,-329.857075,0
13,UES2,15,82,82,1,-120.749,-75.9809,-87.2526,ALTERNATIVE_AVAILABLE,0,1,-318.023461,315.243071,0
13,UES2,16,83,83,1,-115.478,-82.2149,-84.938,ALTERNATIVE_AVAILABLE,0,1,299.319426,308.166024,0
13,UES2,17,84,84,0,NA,-94.1272,-118.516,UNKNOWN,1,1,325.993424,-313.240845,0
13,UES2,18,85,85,4,-113.935,-112.713,-119.582,PERSISTING,0,1,-303.827901,338.917731,0
13,UES2,19,86,86,2,-115.9,-119.591,-119.071,PERSISTING,1,1,351.183780,326.089700,0
