t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
6.0,4,9,0,-13.982,-100.0,0.0565507,1,-14.4328,0.0510724,1.0,0.450800000000001,0.005478300000000005
8.0,4,9,1,-17.3358,-100.0,0.0264008,1,-13.982,0.0565507,1.0,-3.3537999999999997,-0.030149900000000004
10.0,4,8,0,-5.28101,-2.15412,0.0,1,-17.3358,0.0264008,1.0,12.054789999999999,-0.0264008
12.0,4,8,0,-3.06366,-2.68615,0.0,1,-5.28101,0.0,1.0,2.21735,0.0
14.0,4,8,1,1.4288,-5.41236,0.892084,0,-3.06366,0.0,1.0,4.49246,0.892084
16.0,4,1,0,2.65278,-100.0,1.50688,0,1.4288,0.892084,0.0,1.2239799999999998,0.614796
18.0,4,1,0,4.02767,-100.0,1.81883,0,2.65278,1.50688,0.0,1.3748899999999997,0.31194999999999995
20.0,4,1,0,-2.18835,-100.0,0.681834,0,4.02767,1.81883,0.0,-6.216019999999999,-1.136996
22.0,4,1,0,5.35748,-100.0,2.14847,0,-2.18835,0.681834,0.0,7.54583,1.466636
24.0,4,1,0,-2.78863,-100.0,0.609928,0,5.35748,2.14847,0.0,-8.14611,-1.538542
26.0,4,1,0,4.10557,-100.0,1.83742,0,-2.78863,0.609928,0.0,6.8942,1.227492
28.0,4,1,0,4.62984,-100.0,1.96492,0,4.10557,1.83742,0.0,0.5242699999999996,0.12749999999999995
30.0,4,1,0,-9.66782,-100.0,0.147891,0,4.62984,1.96492,0.0,-14.29766,-1.817029
32.0,4,1,0,-3.44159,-100.0,0.538768,0,-9.66782,0.147891,0.0,6.226230000000001,0.39087700000000003
34.0,4,1,0,0.0811048,-100.0,1.01353,0,-3.44159,0.538768,0.0,3.5226948,0.474762
36.0,4,1,0,-1.28023,-100.0,0.802974,0,0.0811048,1.01353,0.0,-1.3613348,-0.21055600000000008
4.0,5,9,0,4.35877,-100.0,1.89848,0,13.0127,4.39308,0.0,-8.65393,-2.4946
6.0,5,9,0,4.72856,-100.0,1.98939,0,4.35877,1.89848,0.0,0.36979000000000006,0.09091000000000005
8.0,5,9,0,9.90044,-100.0,3.4294,0,4.72856,1.98939,0.0,5.17188,1.4400099999999998
10.0,5,9,0,21.35,-100.0,7.10284,0,9.90044,3.4294,0.0,11.449560000000002,3.67344
12.0,5,9,0,-12.1352,-100.0,0.0856446,1,21.35,7.10284,0.0,-33.4852,-7.017195399999999
14.0,5,9,0,-13.4305,-100.0,0.0640391,1,-12.1352,0.0856446,1.0,-1.295300000000001,-0.0216055
16.0,5,9,0,4.65628,-100.0,1.97146,0,-13.4305,0.0640391,1.0,18.08678,1.9074209
18.0,5,9,0,3.7402,-100.0,1.75105,0,4.65628,1.97146,0.0,-0.9160799999999996,-0.22041
20.0,5,9,0,-8.00149,-100.0,0.212177,0,3.7402,1.75105,0.0,-11.74169,-1.538873
22.0,5,9,0,6.00663,-100.0,2.31822,0,-8.00149,0.212177,0.0,14.008120000000002,2.106043
24.0,5,9,0,-23.6221,-100.0,0.00625206,1,6.00663,2.31822,0.0,-29.62873,-2.31196794
26.0,5,9,0,15.88,-100.0,5.312,0,-23.6221,0.00625206,1.0,39.5021,5.305747940000001
28.0,5,9,0,-2.53676,-100.0,0.639327,0,15.88,5.312,0.0,-18.41676,-4.6726730000000005
30.0,5,9,0,23.6285,-100.0,7.85546,0,-2.53676,0.639327,0.0,26.16526,7.216133
32.0,5,9,0,1.97097,-100.0,1.3642,0,23.6285,7.85546,0.0,-21.657529999999998,-6.49126
34.0,5,9,0,0.509116,-100.0,1.08704,0,1.97097,1.3642,0.0,-1.4618540000000002,-0.2771600000000001
36.0,5,9,0,-15.1655,-100.0,0.043261,1,0.509116,1.08704,0.0,-15.674616,-1.043779
4.0,6,10,0,13.468,3.00387,2.95392,0,21.236,0.0,1.0,-7.768000000000001,2.95392
