t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
18.0,5,3,0,18.9283,-100.0,6.30621,0,21.9438,7.29877,0.0,-3.0154999999999994,-0.9925600000000001
20.0,5,3,0,2.27154,-100.0,1.42608,0,18.9283,6.30621,0.0,-16.65676,-4.88013
22.0,5,3,0,22.8595,-100.0,7.60123,0,2.27154,1.42608,0.0,20.587960000000002,6.17515
24.0,5,3,0,-21.1738,-100.0,0.0109683,1,22.8595,7.60123,0.0,-44.0333,-7.5902617
26.0,5,3,0,21.585,-100.0,7.18036,0,-21.1738,0.0109683,1.0,42.7588,7.1693917
28.0,5,3,0,12.169,-100.0,4.12744,0,21.585,7.18036,0.0,-9.416,-3.0529200000000003
30.0,5,3,0,43.9539,-100.0,14.6012,0,12.169,4.12744,0.0,31.784899999999997,10.47376
32.0,5,3,0,18.8751,-100.0,6.28873,0,43.9539,14.6012,0.0,-25.078799999999998,-8.312470000000001
34.0,5,3,0,11.2927,-100.0,3.8547,0,18.8751,6.28873,0.0,-7.5824,-2.4340300000000004
36.0,5,3,0,3.0851,-100.0,1.60158,0,11.2927,3.8547,0.0,-8.2076,-2.25312
4.0,6,7,0,57.2348,-100.0,19.013,0,56.7126,18.8395,0.0,0.522199999999998,0.17350000000000065
6.0,6,7,0,18.7242,-100.0,6.23925,0,57.2348,19.013,0.0,-38.5106,-12.773750000000001
8.0,6,7,0,48.923,-100.0,16.2519,0,18.7242,6.23925,0.0,30.198800000000002,10.012649999999999
10.0,6,7,0,9.75965,-100.0,3.38703,0,48.923,16.2519,0.0,-39.16335,-12.86487
12.0,6,7,0,23.609,-100.0,7.84903,0,9.75965,3.38703,0.0,13.849350000000001,4.462
14.0,6,7,0,23.7226,-100.0,7.8866,0,23.609,7.84903,0.0,0.11359999999999815,0.03756999999999966
16.0,6,7,0,21.6462,-100.0,7.20057,0,23.7226,7.8866,0.0,-2.0763999999999996,-0.6860299999999997
18.0,6,7,0,12.973,-100.0,4.38053,0,21.6462,7.20057,0.0,-8.6732,-2.8200399999999997
20.0,6,7,0,21.1501,-100.0,7.03695,0,12.973,4.38053,0.0,8.177099999999998,2.65642
22.0,6,7,0,9.37452,-100.0,3.27183,0,21.1501,7.03695,0.0,-11.775579999999998,-3.76512
24.0,6,7,0,-10.6373,-100.0,0.11949,0,9.37452,3.27183,0.0,-20.01182,-3.15234
26.0,6,7,0,-15.2364,-100.0,0.0425709,1,-10.6373,0.11949,0.0,-4.5991,-0.07691909999999999
28.0,6,7,0,42.7098,-100.0,14.188,0,-15.2364,0.0425709,1.0,57.946200000000005,14.145429100000001
