episode,return,epsilon,mean_loss,environment_steps,greedy_action,action_counts
38,1.1499999999999997,0.9506,0.012161546631978127,1560,7,"[3, 0, 3, 1, 0, 3, 1, 3, 1, 1, 4, 2, 3, 2, 1, 0, 1, 0, 1, 1, 3, 0, 1, 2, 3]"
39,0.0999999999999998,0.9493333333333334,0.013924209857941605,1600,7,"[3, 2, 1, 4, 2, 4, 0, 2, 0, 3, 2, 0, 0, 3, 1, 3, 3, 2, 1, 1, 1, 1, 0, 1, 0]"
40,3.2500000000000044,0.9480666666666666,0.010574314768746262,1640,7,"[0, 2, 0, 0, 2, 2, 3, 5, 0, 3, 0, 3, 1, 1, 1, 5, 1, 1, 2, 2, 2, 2, 1, 0, 1]"
41,1.149999999999999,0.9468,0.010178570791322273,1680,7,"[1, 2, 3, 3, 1, 0, 4, 3, 4, 1, 1, 2, 1, 2, 3, 1, 0, 1, 1, 2, 0, 1, 0, 1, 2]"
42,0.09999999999999963,0.9455333333333333,0.009008225225625211,1720,7,"[2, 2, 0, 0, 2, 0, 1, 2, 1, 1, 1, 0, 3, 2, 0, 1, 1, 4, 3, 0, 2, 2, 2, 4, 4]"
43,0.09999999999999974,0.9442666666666667,0.011315356640261598,1760,7,"[1, 1, 1, 0, 4, 2, 0, 2, 4, 0, 0, 0, 1, 1, 2, 0, 2, 0, 3, 5, 4, 2, 2, 2, 1]"
44,2.200000000000001,0.9430000000000001,0.009954547040251782,1800,7,"[1, 2, 1, 1, 3, 2, 2, 4, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 2, 2, 1, 3, 0, 1, 2]"
45,2.2000000000000046,0.9417333333333333,0.012682703656173544,1840,7,"[2, 1, 2, 1, 0, 1, 0, 4, 0, 3, 2, 3, 2, 2, 2, 3, 2, 0, 0, 3, 3, 1, 2, 1, 0]"
46,2.1999999999999993,0.9404666666666667,0.016989933472359553,1880,7,"[3, 0, 2, 2, 2, 0, 0, 4, 0, 1, 1, 2, 5, 1, 0, 1, 3, 2, 3, 0, 1, 3, 2, 0, 2]"
47,5.350000000000005,0.9392,0.01745439305959735,1920,7,"[2, 3, 5, 0, 1, 2, 1, 7, 2, 1, 1, 2, 1, 2, 0, 1, 2, 0, 4, 0, 2, 0, 1, 0, 0]"
48,1.149999999999999,0.9379333333333333,0.012395471209310926,1960,7,"[1, 2, 1, 2, 2, 0, 5, 3, 2, 1, 2, 0, 1, 1, 2, 0, 3, 3, 1, 0, 6, 0, 0, 2, 0]"
49,-0.9500000000000011,0.9366666666666666,0.009567559765855549,2000,7,"[1, 1, 5, 0, 1, 1, 0, 1, 3, 0, 3, 1, 1, 2, 1, 2, 2, 3, 2, 1, 0, 1, 1, 6, 1]"
