run,seed_group,time,ueId,serving_rsrp_dbm,best_neighbor_rsrp_dbm,rsrp_margin_db,serving_rsrp_slope_dbps,neighbor_rsrp_slope_dbps,best_neighbor_load_ratio,best_neighbor_is_ntn,ho_within_horizon
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,96.5,19,-121.443,-136.515,-15.071999999999989,-1.8539999999999992,-4.260999999999996,0.7,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,98.5,19,-108.223,-113.576,-5.352999999999994,6.609999999999999,11.469499999999996,0.9,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,100.5,19,-148.542,-140.472,8.069999999999993,-20.1595,-13.448000000000008,0.9,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,102.5,19,-145.583,-136.961,8.621999999999986,1.4795000000000016,1.7554999999999978,0.1,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,104.5,19,-108.197,-130.55,-22.35300000000001,18.692999999999998,3.2055000000000007,0.35,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,106.5,19,-123.802,-142.911,-19.108999999999995,-7.802500000000002,-6.180499999999995,1.0,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,108.5,19,-116.854,-130.681,-13.827000000000012,3.4740000000000038,6.114999999999995,0.1,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,110.5,19,-119.412,-121.973,-2.560999999999993,-1.2790000000000035,4.354000000000006,1.0,1.0,1
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,112.5,19,-152.025,-101.825,50.2,-16.3065,10.073999999999998,0.9,1.0,1
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,114.5,19,-108.499,-101.885,6.61399999999999,21.763000000000005,-0.030000000000001137,0.9,1.0,0
