Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,XhaulRsrpDbm,XhaulState,XhaulDegradationActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
8.5,tn-uav-satellite,1,6,1,-60.3897,HEALTHY,0,12.503,7.98238,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
9.5,tn-uav-satellite,0,5,4,-60.7971,HEALTHY,0,9.24638,4.72578,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
9.5,tn-uav-satellite,1,6,1,-60.3754,HEALTHY,0,12.7189,8.19831,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
10.5,tn-uav-satellite,0,5,4,-60.7675,HEALTHY,0,13.5811,9.06047,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
10.5,tn-uav-satellite,1,6,1,-60.3622,HEALTHY,0,11.2186,6.69802,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
11.5,tn-uav-satellite,0,5,4,-60.7386,HEALTHY,0,12.3158,7.79517,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
11.5,tn-uav-satellite,1,6,1,-60.35,HEALTHY,0,13.6411,9.12054,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
12.5,tn-uav-satellite,0,5,4,-60.7106,HEALTHY,0,11.9506,7.43003,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
12.5,tn-uav-satellite,1,6,1,-60.3388,HEALTHY,0,11.2844,6.76384,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
13.5,tn-uav-satellite,0,5,4,-60.6833,HEALTHY,0,14.4828,9.96225,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
13.5,tn-uav-satellite,1,6,1,-60.3288,HEALTHY,0,11.9917,7.47115,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
14.5,tn-uav-satellite,0,5,4,-60.6569,HEALTHY,0,14.9019,10.3813,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
14.5,tn-uav-satellite,1,6,1,-60.3198,HEALTHY,0,14.4196,9.89898,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
15.5,tn-uav-satellite,0,5,4,-95.6314,DEGRADED,1,13.8915,9.37089,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
15.5,tn-uav-satellite,1,6,1,-95.3119,DEGRADED,1,12.2132,7.69259,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
16.5,tn-uav-satellite,0,5,4,-95.6066,DEGRADED,1,10.4363,5.91568,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
16.5,tn-uav-satellite,1,6,1,-95.3052,DEGRADED,1,11.5339,7.01326,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
17.5,tn-uav-satellite,0,5,4,-95.5828,DEGRADED,1,13.6186,9.09804,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
17.5,tn-uav-satellite,1,6,1,-95.2995,DEGRADED,1,9.71975,5.19915,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
18.5,tn-uav-satellite,0,5,4,-95.5599,DEGRADED,1,6.07303,1.55243,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
18.5,tn-uav-satellite,1,6,1,-95.2949,DEGRADED,1,9.26555,4.74495,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
19.5,tn-uav-satellite,0,5,4,-95.5509,DEGRADED,1,9.07141,4.55081,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
19.5,tn-uav-satellite,1,6,1,-95.2804,DEGRADED,1,14.9658,10.4452,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
20.5,tn-uav-satellite,0,5,4,-95.5509,DEGRADED,1,9.24604,4.72544,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
20.5,tn-uav-satellite,1,6,1,-95.2596,DEGRADED,1,14.9663,10.4457,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
21.5,tn-uav-satellite,0,5,4,-95.5377,DEGRADED,1,12.7286,8.20795,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
21.5,tn-uav-satellite,1,6,1,-95.251,DEGRADED,1,11.3224,6.8018,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
22.5,tn-uav-satellite,0,5,4,-95.5165,DEGRADED,1,14.8642,10.3436,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
22.5,tn-uav-satellite,1,6,1,-95.251,DEGRADED,1,8.96627,4.44567,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
23.5,tn-uav-satellite,0,5,4,-95.4962,DEGRADED,1,13.9066,9.38601,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
23.5,tn-uav-satellite,1,6,1,-95.252,DEGRADED,1,12.6278,8.10717,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
24.5,tn-uav-satellite,0,5,4,-95.4769,DEGRADED,1,14.4974,9.97682,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
24.5,tn-uav-satellite,1,6,1,-95.2542,DEGRADED,1,12.461,7.9404,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
25.5,tn-uav-satellite,0,5,4,-95.4585,DEGRADED,1,11.1087,6.58809,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
25.5,tn-uav-satellite,1,6,1,-95.2575,DEGRADED,1,11.5942,7.07362,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
26.5,tn-uav-satellite,0,5,4,-95.441,DEGRADED,1,11.5813,7.06066,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
26.5,tn-uav-satellite,1,6,1,-95.2619,DEGRADED,1,12.2997,7.7791,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
27.5,tn-uav-satellite,0,5,4,-95.4343,DEGRADED,1,12.6119,8.09131,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
27.5,tn-uav-satellite,1,6,1,-95.2557,DEGRADED,1,14.8421,10.3215,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
28.5,tn-uav-satellite,0,5,4,-95.4343,DEGRADED,1,13.7275,9.51371,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
28.5,tn-uav-satellite,1,6,1,-95.2428,DEGRADED,1,9.97691,5.45631,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
29.5,tn-uav-satellite,0,5,4,-95.4343,DEGRADED,1,12.4414,7.92083,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
29.5,tn-uav-satellite,1,6,1,-95.2309,DEGRADED,1,9.09551,4.57491,1,SATELLITE_FALLBACK,0.1,2,2,EDGE_ASSISTED_WITH_SATELLITE
30.5,tn-uav-satellite,0,5,4,-60.4343,HEALTHY,0,10.1634,5.64275,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
30.5,tn-uav-satellite,1,6,1,-60.2202,HEALTHY,0,12.8609,8.34026,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
31.5,tn-uav-satellite,0,5,2,-60.3899,HEALTHY,0,11.3002,6.77962,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
31.5,tn-uav-satellite,1,6,1,-60.2224,HEALTHY,0,11.3001,6.77953,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
32.5,tn-uav-satellite,0,5,2,-60.315,HEALTHY,0,11.6077,7.0871,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
32.5,tn-uav-satellite,1,6,1,-60.2335,HEALTHY,0,13.4163,8.89565,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
33.5,tn-uav-satellite,0,5,2,-60.2399,HEALTHY,0,12.1417,7.62108,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
33.5,tn-uav-satellite,1,6,1,-60.2457,HEALTHY,0,12.5911,8.07054,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
34.5,tn-uav-satellite,0,5,2,-60.1648,HEALTHY,0,13.0051,8.48445,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
34.5,tn-uav-satellite,1,6,1,-60.259,HEALTHY,0,10.8047,6.2841,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
35.5,tn-uav-satellite,0,5,2,-60.0895,HEALTHY,0,13.2312,8.71059,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
35.5,tn-uav-satellite,1,6,1,-60.2734,HEALTHY,0,11.6029,7.08228,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
36.5,tn-uav-satellite,0,5,2,-60.0141,HEALTHY,0,11.6185,7.0979,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
36.5,tn-uav-satellite,1,6,1,-60.2888,HEALTHY,0,13.3025,8.78191,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
37.5,tn-uav-satellite,0,5,2,-59.9387,HEALTHY,0,10.5861,6.06551,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
37.5,tn-uav-satellite,1,6,1,-60.3053,HEALTHY,0,9.94348,5.42288,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
38.5,tn-uav-satellite,0,5,2,-59.8632,HEALTHY,0,12.1269,7.6063,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
38.5,tn-uav-satellite,1,6,1,-60.3228,HEALTHY,0,11.2815,6.76093,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
39.5,tn-uav-satellite,0,5,2,-59.7876,HEALTHY,0,12.4343,7.91375,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
39.5,tn-uav-satellite,1,6,4,-60.226,HEALTHY,0,13.3605,8.83991,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
