Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
16.5,tn-uav-satellite,2,7,-102.549,UNREACHABLE,4,HEALTHY,0,12.8466,8.326,1,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav-satellite,2,7,-104.269,UNREACHABLE,6,UNREACHABLE,0,11.7208,7.20023,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
18.5,tn-uav-satellite,0,5,-89.5111,HEALTHY,14,HEALTHY,0,13.155,8.63441,1,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav-satellite,1,6,-113.69,UNREACHABLE,14,UNREACHABLE,0,10.4969,5.97633,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
20.5,tn-uav-satellite,0,5,-97.6462,HEALTHY,16,HEALTHY,0,14.1609,9.64033,1,TN_DIRECT,TN_DIRECT,True,1
20.5,tn-uav-satellite,1,6,-108.714,UNREACHABLE,16,UNREACHABLE,0,13.1066,8.58597,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
20.5,tn-uav-satellite,2,7,-101.913,UNREACHABLE,8,UNREACHABLE,0,11.2306,6.71004,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
22.5,tn-uav-satellite,0,5,-87.57,HEALTHY,18,HEALTHY,0,13.1061,8.58546,1,TN_DIRECT,TN_DIRECT,True,1
22.5,tn-uav-satellite,1,6,-110.783,UNREACHABLE,18,UNREACHABLE,0,10.7461,6.22547,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
22.5,tn-uav-satellite,2,7,-103.256,UNREACHABLE,10,UNREACHABLE,0,13.2519,8.73134,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
24.5,tn-uav-satellite,2,7,-105.311,UNREACHABLE,12,UNREACHABLE,0,11.0936,9.54706,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
24.5,tn-uav-satellite,1,6,-112.463,UNREACHABLE,20,UNREACHABLE,0,11.0936,9.12694,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
24.5,tn-uav-satellite,0,5,-92.7111,HEALTHY,20,HEALTHY,0,11.0936,9.03258,1,TN_DIRECT,TN_DIRECT,True,1
26.5,tn-uav-satellite,0,5,-83.0944,HEALTHY,22,HEALTHY,0,12.5919,8.07128,1,TN_DIRECT,TN_DIRECT,True,1
26.5,tn-uav-satellite,1,6,-117.382,UNREACHABLE,22,UNREACHABLE,0,9.09641,4.57581,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
26.5,tn-uav-satellite,2,7,-108.629,UNREACHABLE,14,UNREACHABLE,0,12.0767,7.55612,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
28.5,tn-uav-satellite,0,5,-80.793,HEALTHY,24,HEALTHY,0,12.4867,7.96609,1,TN_DIRECT,TN_DIRECT,True,1
